Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Calculated Load (g/rev),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.6.0-27787][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
12.820,9.38,0.00,0.00,14.59,0.20,0.48,0.750,0.00,0.00,46.00,8.29,75.2,24.28,2.22,2990,1.44,13.7,19.22,0
12.916,9.38,0.00,0.00,14.47,0.21,0.48,0.750,0.00,0.00,46.00,8.37,75.2,23.99,2.22,3018,1.46,13.7,19.22,0
13.001,8.59,0.00,-0.12,14.36,0.22,0.48,0.750,0.00,0.00,46.00,8.37,75.2,24.48,2.20,3018,1.46,13.7,18.82,0
13.093,7.81,0.00,-0.12,14.36,0.23,0.48,0.750,0.00,0.00,46.00,8.29,75.2,23.70,2.20,2988,1.46,13.7,18.82,0
13.198,8.59,0.00,0.00,14.47,0.23,0.48,0.750,0.00,0.00,46.00,8.36,75.2,23.70,2.22,3014,1.47,13.7,19.22,0
13.274,8.59,0.00,0.00,14.59,0.24,0.48,0.750,0.00,0.00,46.00,8.31,75.2,24.10,2.20,2997,1.45,13.7,18.82,0
13.373,7.81,0.00,0.00,14.47,0.24,0.48,0.750,0.00,0.00,46.00,8.36,75.2,24.18,2.22,3014,1.46,13.7,18.82,0
13.459,7.81,0.00,-0.12,14.47,0.25,0.48,0.750,0.00,0.00,46.00,8.36,75.2,24.00,2.22,3014,1.46,13.7,19.22,0
13.558,7.03,0.00,-0.12,14.36,0.24,0.48,0.750,0.00,0.00,46.00,8.30,75.2,23.90,2.22,2992,1.43,13.7,19.22,0
13.649,7.03,0.00,-0.12,14.36,0.24,0.48,0.750,0.00,0.00,46.00,8.35,75.2,24.08,2.22,3010,1.45,13.7,18.82,0
13.748,7.03,0.00,-0.12,14.47,0.24,0.48,0.750,0.00,0.00,46.00,8.27,75.2,24.28,2.22,2982,1.49,13.7,18.82,0
13.839,7.03,0.00,-0.12,14.47,0.24,0.48,0.750,0.00,0.00,46.00,8.35,75.2,23.52,2.20,3012,1.45,13.7,19.22,0
13.923,6.25,0.00,-0.12,14.36,0.24,0.48,0.750,0.00,0.00,46.00,8.34,75.2,24.27,2.20,3009,1.44,13.7,18.82,0
14.020,6.25,0.00,0.00,14.47,0.25,0.48,0.750,0.00,0.00,46.00,8.28,75.2,24.19,2.22,2984,1.48,13.7,18.82,0
14.101,6.25,0.00,-0.12,14.47,0.26,0.48,0.750,0.00,0.00,46.00,8.34,75.2,24.28,2.22,3009,1.45,13.7,19.22,0
14.195,4.69,0.00,-0.12,14.36,0.27,0.48,0.750,0.00,0.00,46.00,8.29,75.2,23.52,2.20,2990,1.44,13.7,19.22,0
14.291,4.69,0.00,-0.12,14.47,0.28,0.48,0.750,0.00,0.00,46.00,8.35,75.2,23.99,2.20,3010,1.50,13.7,18.82,0
14.394,3.91,0.00,-0.12,14.36,0.29,0.48,0.750,0.00,0.00,46.00,8.33,75.2,24.49,2.22,3004,1.46,13.7,18.82,0
14.479,3.91,0.00,-0.12,14.36,0.29,0.49,0.750,0.00,0.00,46.00,8.27,75.2,23.91,2.22,2983,1.47,13.7,18.82,0
14.568,3.12,0.00,-0.12,14.36,0.31,0.48,0.750,0.00,0.00,46.00,8.33,75.2,24.10,2.22,3004,1.45,13.7,18.82,0
14.659,3.91,0.00,0.00,14.47,0.32,0.48,0.750,0.00,0.00,46.00,8.25,75.2,23.89,2.22,2976,1.45,13.7,18.82,0
